HeadX,HeadY,TailX,TailY,Start,End
1796.4,817.53,1781.9,869.96,201,202
1554.7,733.06,1508.1,765.1,202,210
995.41,1621.5,940.06,1618.5,202,215
1793.5,974.82,1761.5,1027.3,202,204
74.97,1379.7,69.145,1432.1,204,209
1778.9,913.65,1752.7,966.08,204,208
1487.7,1248.6,1444,1295.2,205,208
235.17,1455.4,296.34,1461.3,205,206
1580.9,1274.8,1545.9,1318.5,206,218
139.05,328.19,185.66,267.02,206,208
179.83,1449.6,246.82,1443.8,206,211
471.11,567.03,412.85,561.21,207,241
1723.6,1740.9,1677,1749.6,209,225
1752.7,1778.7,1720.7,1746.7,209,214
1793.5,639.85,1764.4,683.55,210,216
74.97,482.56,86.621,424.31,216,218
1820.3,338.02,1774.3,332.27,216,222
1647.9,1740.9,1586.7,1732.1,216,225
1799.3,1816.6,1758.6,1816.6,216,222
113.01,544.45,89.488,491.52,218,0
1592.5,1321.4,1540.1,1315.6,218,220
739.08,1772.9,689.57,1770,218,229
1117.7,1580.7,1114.8,1636,218,226
1758.6,1673.9,1808.1,1700.1,218,225
1758.6,625.29,1755.6,680.63,221,224
753.65,491.3,695.39,444.7,222,267
654.61,1371,616.75,1336,222,268
529.36,607.81,491.5,636.94,222,232
1554.7,1251.5,1548.8,1312.7,224,229
194.45,969.97,154.23,978.59,225,234
1639.1,741.8,1586.7,750.54,225,237
1776,1609.8,1784.8,1668.1,225,232
1722.6,355.25,1673.8,381.11,225,232
1444,1056.4,1388.6,1059.3,226,229
1493.5,1085.5,1458.5,1065.1,229,239
1589.6,1269,1545.9,1298.1,229,234
1791.6,108.22,1739.9,151.31,230,248
1752.7,1653.5,1703.2,1665.1,232,271
1764.4,1752.5,1723.6,1752.5,232,245
217.7,925.31,159.44,960.26,234,241
1566.3,1365.1,1540.1,1315.6,234,244
1589.6,601.99,1554.7,581.6,234,239
1793.5,529.17,1746.9,558.3,234,241
191.48,1079.7,179.83,1033.1,240,270
1755.6,695.2,1773.1,753.45,240,242
1819.7,494.21,1761.5,500.04,241,247
1624.3,1628.4,1669.4,1653.9,241,331
1502.2,1164.2,1487.7,1103,241,243
1179.3,422.92,1112.7,432.72,243,446
1808.1,1752.5,1758.6,1749.6,245,250
1752.7,715.59,1746.9,782.58,245,250
1813.9,459.26,1784.8,505.87,247,250
1572.1,1228.2,1525.5,1193.3,247,249
1770.2,1694.3,1805.2,1659.3,248,271
1540.1,1321.4,1583.8,1274.8,249,251
1545.9,1298.1,1537.2,1242.8,249,257
1543,1388.4,1566.3,1330.2,254,258
884.72,575.77,829.38,569.95,254,261
1056.6,706.85,1004.1,686.46,256,257
1726.8,270.69,1693.4,326.4,259,290
1694.5,607.81,1633.3,590.34,261,271
1557.7,1391.2,1555.7,1350.1,262,331
1059.5,741.8,1004.1,741.8,263,266
887.63,564.12,838.12,581.6,266,268
701.06,546.41,726.54,483.68,267,346
1087.2,271.98,1038.2,297.47,267,401
679.86,1331.6,611.89,1329.7,268,283
200.34,1085.9,189.2,1022.8,270,292
264.3,646.16,270.13,698.59,270,280
1234.3,727.24,1213.9,671.89,270,277
1636.2,441.79,1575,438.87,270,277
1627.5,1408.8,1586.7,1385.5,271,274
899.04,513.08,846.11,520.92,273,290
1698.8,1426.5,1702.7,1385.4,274,308
1430.2,271.98,1406.7,226.9,276,285
1626.3,479.76,1569.4,442.52,277,281
1706.6,1816.6,1738,1797,277,281
1689,1381.4,1636.1,1391.2,281,290
1789,477.8,1743.9,499.36,283,284
1747.8,450.36,1704.7,487.6,284,298
216.9,642.45,260.02,681.66,285,287
512.88,497.4,469.76,538.57,285,313
1503.2,341.29,1441.1,339.35,286,454
1796.8,1671.5,1745.8,1650,287,295
1693.5,275.27,1699.3,339.35,290,292
1645,1455.9,1627.5,1399.6,290,292
452.12,1687.2,397.23,1693.1,291,293
1739.9,1459.8,1679.2,1444.2,293,356
469.76,1675.5,420.76,1679.4,293,298
1771.2,228.67,1724.6,257.79,293,303
